iter	Passed	Remaining
0	59	59623
1	60	29985
2	60	20090
3	60	15156
4	61	12166
5	61	10184
6	61	8757
7	62	7694
8	62	6866
9	62	6199
10	62	5654
11	63	5199
12	63	4821
13	63	4491
14	64	4206
15	64	3954
16	64	3731
17	64	3534
18	65	3358
19	65	3199
20	65	3055
21	65	2924
22	66	2806
23	66	2699
24	66	2600
25	66	2506
26	67	2420
27	67	2343
28	67	2268
29	68	2200
30	68	2134
31	68	2075
32	69	2022
33	69	1969
34	69	1917
35	69	1868
36	70	1822
37	70	1778
38	70	1737
39	70	1697
40	71	1661
41	71	1625
42	71	1593
43	71	1561
44	72	1530
45	72	1501
46	72	1473
47	73	1448
48	73	1423
49	73	1400
50	73	1375
51	74	1353
52	74	1330
53	74	1310
54	75	1290
55	75	1270
56	75	1250
57	75	1231
58	76	1213
59	76	1196
60	76	1178
61	76	1162
62	77	1146
63	77	1130
64	77	1115
65	77	1101
66	78	1086
67	78	1070
68	78	1058
69	78	1045
70	78	1032
71	79	1020
72	79	1008
73	79	997
74	79	985
75	80	975
76	80	964
77	80	954
78	81	945
79	81	935
80	81	926
81	81	916
82	82	907
83	82	898
84	82	888
85	82	880
86	82	870
87	83	862
88	83	854
89	83	847
90	84	840
91	84	832
92	84	825
93	84	818
94	85	811
95	85	805
96	85	798
97	86	792
98	86	786
99	86	780
100	87	774
101	87	767
102	87	761
103	87	755
104	87	749
105	88	744
106	88	739
107	88	734
108	89	728
109	89	723
110	89	717
111	89	712
112	90	706
113	90	702
114	90	696
115	90	691
116	90	686
117	91	681
118	91	676
119	91	671
120	91	667
121	92	662
122	92	657
123	92	652
124	92	648
125	92	643
126	93	639
127	93	634
128	93	630
129	93	627
130	93	623
131	94	619
132	94	615
133	94	611
134	94	608
135	95	604
136	95	601
137	95	597
138	95	594
139	96	590
140	96	588
141	96	584
142	97	581
143	97	578
144	97	575
145	97	572
146	98	569
147	98	566
148	98	563
149	98	560
150	99	557
151	99	554
152	99	551
153	99	549
154	100	546
155	100	543
156	100	540
157	101	538
158	101	535
159	101	533
160	101	530
161	102	528
162	102	525
163	102	522
164	102	520
165	103	517
166	103	515
167	103	513
168	103	510
169	104	508
170	104	506
171	104	503
172	104	501
173	105	499
174	105	497
175	105	495
176	106	492
177	106	490
178	106	488
179	106	486
180	106	483
181	107	481
182	107	479
183	107	477
184	108	476
185	108	474
186	108	472
187	108	470
188	109	468
189	109	465
190	109	464
191	109	462
192	110	460
193	110	458
194	110	456
195	110	454
196	111	453
197	111	451
198	111	449
199	111	447
200	112	446
201	112	444
202	112	442
203	113	440
204	113	439
205	113	437
206	113	435
207	114	434
208	114	432
209	114	431
210	114	429
211	115	427
212	115	426
213	115	424
214	115	423
215	116	421
216	116	419
217	116	418
218	116	417
219	117	415
220	117	414
221	117	412
222	118	411
223	118	410
224	118	408
225	119	407
226	119	406
227	119	404
228	119	403
229	120	401
230	120	400
231	120	399
232	120	397
233	121	396
234	121	395
235	121	393
236	121	392
237	122	391
238	122	389
239	122	388
240	122	387
241	123	385
242	123	384
243	123	383
244	123	381
245	124	380
246	124	379
247	124	378
248	125	377
249	125	375
250	125	374
251	125	373
252	126	372
253	126	370
254	126	369
255	126	368
256	127	367
257	127	366
258	127	365
259	127	364
260	128	362
261	128	361
262	128	360
263	128	359
264	129	358
265	129	357
266	129	356
267	130	355
268	130	354
269	130	353
270	130	352
271	131	350
272	131	349
273	131	348
274	131	347
275	132	346
276	132	345
277	132	345
278	133	344
279	133	342
280	133	341
281	133	340
282	134	339
283	134	338
284	134	337
285	134	337
286	135	335
287	135	335
288	135	334
289	136	333
290	136	332
291	136	331
292	137	330
293	137	329
294	137	328
295	137	327
296	138	327
297	138	326
298	138	325
299	138	324
300	139	323
301	139	322
302	139	321
303	139	320
304	140	319
305	140	318
306	140	317
307	140	316
308	141	315
309	141	315
310	141	314
311	142	313
312	142	312
313	142	311
314	142	310
315	143	311
316	143	310
317	144	309
318	144	308
319	144	307
320	145	306
321	145	306
322	145	305
323	145	304
324	146	303
325	146	302
326	146	302
327	147	301
328	147	300
