iter	Passed	Remaining
0	59	59500
1	59	29868
2	60	19984
3	60	15046
4	60	12074
5	60	10102
6	61	8688
7	61	7658
8	62	6831
9	62	6176
10	62	5632
11	62	5181
12	63	4815
13	63	4491
14	64	4213
15	64	3968
16	64	3751
17	65	3553
18	65	3380
19	65	3220
20	66	3078
21	66	2949
22	66	2829
23	66	2721
24	67	2621
25	67	2528
26	67	2442
27	68	2361
28	68	2288
29	68	2218
30	68	2151
31	69	2090
32	69	2031
33	69	1977
34	69	1925
35	70	1877
36	70	1831
37	70	1788
38	70	1747
39	71	1708
40	71	1670
41	71	1634
42	71	1600
43	72	1568
44	72	1537
45	72	1507
46	73	1481
47	73	1456
48	73	1432
49	74	1406
50	74	1385
51	74	1363
52	75	1341
53	75	1319
54	75	1298
55	75	1277
56	76	1258
57	76	1239
58	76	1220
59	76	1203
60	77	1198
61	78	1182
62	78	1167
63	78	1152
64	79	1136
65	79	1122
66	79	1107
67	79	1095
68	80	1081
69	80	1068
70	80	1055
71	80	1042
72	81	1030
73	81	1017
74	81	1006
75	81	995
76	82	984
77	82	975
78	82	964
79	83	954
80	83	944
81	83	934
82	83	923
83	83	913
84	84	905
85	84	897
86	84	888
87	84	880
88	85	872
89	85	865
90	85	858
91	86	850
92	86	843
93	86	835
94	86	828
95	87	822
96	87	814
97	87	808
98	88	802
99	88	795
100	88	789
101	89	790
102	90	784
103	90	778
104	90	771
105	90	766
106	91	760
107	91	754
108	91	748
109	91	743
110	92	738
111	92	733
112	92	728
113	93	723
114	93	718
115	93	714
116	93	709
117	94	704
118	94	700
119	94	695
120	95	690
121	95	685
122	95	680
123	95	676
124	96	672
125	96	668
126	96	663
127	96	659
128	97	655
129	97	651
130	97	647
131	97	644
132	98	640
133	98	636
134	98	632
135	98	628
136	99	624
137	99	621
138	99	617
139	99	614
140	100	610
141	100	606
142	100	603
143	100	599
144	101	596
145	101	593
146	101	590
147	102	587
148	102	584
149	102	581
150	102	578
151	103	575
152	103	572
153	103	569
154	103	566
155	104	563
156	104	561
157	104	558
158	104	555
159	105	552
160	105	549
161	105	546
162	105	543
163	106	541
164	106	539
165	106	536
166	107	533
167	107	531
168	107	528
169	107	526
170	108	523
171	108	521
172	110	526
173	110	524
174	110	521
175	111	519
176	111	517
177	111	514
178	111	512
179	112	510
